"time","summary","icon","sunriseTime","sunsetTime","moonPhase","precipIntensity","precipIntensityMax","precipIntensityMaxTime","precipProbability","precipType","temperatureHigh","temperatureHighTime","temperatureLow","temperatureLowTime","apparentTemperatureHigh","apparentTemperatureHighTime","apparentTemperatureLow","apparentTemperatureLowTime","dewPoint","humidity","pressure","windSpeed","windGust","windGustTime","windBearing","cloudCover","uvIndex","uvIndexTime","visibility","ozone","temperatureMin","temperatureMinTime","temperatureMax","temperatureMaxTime","apparentTemperatureMin","apparentTemperatureMinTime","apparentTemperatureMax","apparentTemperatureMaxTime","country","province","date","precipAccumulation"
1583164800,"Rain in the evening and overnight.","rain",1583188260,1583230320,0.27,0.5445,3.8085,1583237220,0.83,"rain",19.02,1583218080,11.86,1583277660,18.74,1583218080,12.19,1583277900,11.97,0.87,1020.6,1.03,3.49,1583237280,67,0.98,5,1583209680,14.193,278.5,10.78,1583188740,19.02,1583218080,11.05,1583188740,18.74,1583218080,"China","Fujian",2020-03-03,NA
1583251200,"Light rain throughout the day.","rain",1583274600,1583316780,0.31,0.7188,1.5103,1583254140,0.94,"rain",13.24,1583287980,7.68,1583365260,12.98,1583289420,7.63,1583362860,12.23,1,1021.9,0.95,2.19,1583334000,16,1,5,1583295780,11.514,275,10.31,1583334000,13.24,1583287980,10.58,1583334000,12.98,1583289420,"China","Fujian",2020-03-04,NA
1583337600,"Possible drizzle in the morning.","rain",1583360940,1583403180,0.34,0.0749,0.6388,1583337600,0.74,"rain",13.56,1583384700,6.43,1583444580,13.28,1583384700,6.7,1583444580,8.22,0.88,1023,1.25,2.55,1583382960,79,0.96,5,1583382000,15.151,279.9,7.68,1583365260,13.56,1583384700,7.63,1583362860,13.28,1583384700,"China","Fujian",2020-03-05,NA
1583424000,"Possible light rain in the evening.","rain",1583447280,1583489640,0.38,0.0826,0.4849,1583485680,0.43,"rain",19.05,1583471460,11.65,1583530320,18.77,1583471460,11.91,1583530320,10.44,0.89,1018.7,0.77,3.14,1583474040,116,0.79,5,1583467560,16.093,282.6,6.43,1583444580,19.05,1583471460,6.7,1583444580,18.77,1583471460,"China","Fujian",2020-03-06,NA
1583510400,"Possible light rain until evening.","rain",1583533620,1583576040,0.42,0.299,0.6278,1583564760,0.7,"rain",20.64,1583557380,14.42,1583618580,20.55,1583557380,15.05,1583618280,14.94,0.95,1015,0.78,2.87,1583556300,190,0.69,6,1583554620,14.832,285.3,11.65,1583530320,20.64,1583557380,11.91,1583530320,20.55,1583557380,"China","Fujian",2020-03-07,NA
1583596800,"Possible light rain in the morning.","rain",1583619960,1583662500,0.45,0.1479,0.4632,1583616600,0.66,"rain",20.18,1583644200,14.79,1583699160,20.13,1583644260,15.26,1583699220,15.88,0.95,1012.1,1.18,4.07,1583658540,136,0.78,5,1583642340,15.759,278.4,14.42,1583618580,20.18,1583644200,15.05,1583618280,20.13,1583644260,"China","Fujian",2020-03-08,NA
1583683200,"Rain throughout the day.","rain",1583706300,1583748900,0.49,0.8431,3.6597,1583743980,0.96,"rain",18.93,1583723880,11.46,1583796720,19.02,1583724780,11.73,1583796720,16.37,0.99,1008.4,1.19,2.49,1583744880,241,0.75,5,1583727840,13.278,266.5,14.79,1583699160,18.93,1583723880,15.26,1583699220,19.02,1583724780,"China","Fujian",2020-03-09,NA
1583769600,"Mostly cloudy throughout the day.","rain",1583792640,1583835360,0.53,0.037,0.4449,1583771700,0.55,"rain",15.45,1583815800,6.63,1583873220,15.17,1583815800,6.9,1583873220,10.27,0.87,1017.1,1.68,4.6,1583821980,333,0.72,8,1583812860,15.964,266.1,8.56,1583852400,15.45,1583815800,8.83,1583852400,15.17,1583815800,"China","Fujian",2020-03-10,NA
1583856000,"Light rain in the evening and overnight.","rain",1583878980,1583921760,0.57,0.0479,0.9035,1583938800,0.6,"rain",16.69,1583911020,9.25,1583970720,16.41,1583911020,9.52,1583970720,8.97,0.87,1020.6,0.85,2.24,1583917920,71,0.41,8,1583898840,16.093,273.8,6.63,1583873220,16.69,1583911020,6.9,1583873220,16.41,1583911020,"China","Fujian",2020-03-11,NA
1583942400,"Rain throughout the day.","rain",1583965320,1584008220,0.61,2.1216,4.2538,1584003240,0.98,"rain",12.69,1584007980,11.46,1584037440,12.43,1584008100,11.73,1584037440,11.17,1,1018.8,0.94,2.75,1583945940,85,0.98,5,1583986620,11.452,271.8,9.25,1583970720,12.69,1584007980,9.52,1583970720,12.43,1584008100,"China","Fujian",2020-03-12,NA
1584028800,"Light rain until morning, starting again in the evening.","rain",1584051660,1584094620,0.65,0.2764,1.4192,1584046500,0.9,"rain",20.27,1584075840,11.28,1584141300,20.21,1584075900,11.55,1584141300,14.34,0.97,1018,0.88,3.08,1584101460,2,0.93,6,1584074340,14.817,271.2,11.46,1584037440,20.27,1584075840,11.73,1584037440,20.21,1584075900,"China","Fujian",2020-03-13,NA
1584115200,"Possible drizzle in the morning.","rain",1584137940,1584181080,0.68,0.034,0.1031,1584119160,0.56,"rain",16.56,1584165780,6.17,1584219960,16.28,1584165780,6.44,1584219960,10.82,0.87,1020.6,1.5,4.28,1584174360,339,0.76,5,1584159900,16.093,269.2,8.95,1584198000,16.56,1584165780,9.22,1584198000,16.28,1584165780,"China","Fujian",2020-03-14,NA
1584201600,"Clear throughout the day.","clear-day",1584224280,1584267480,0.72,0.0032,0.0088,1584275280,0.04,"rain",18.7,1584248520,8.24,1584308820,18.42,1584248520,8.51,1584308820,6.23,0.71,1021.3,0.77,1.53,1584206520,349,0,10,1584245760,16.093,276.4,6.17,1584219960,18.7,1584248520,6.44,1584219960,18.42,1584248520,"China","Fujian",2020-03-15,NA
1584288000,"Mostly cloudy throughout the day.","partly-cloudy-day",1584310620,1584353940,0.75,0.0012,0.0179,1584370800,0.02,"rain",20.21,1584342120,10.91,1584395280,19.93,1584342120,11.18,1584395280,8.49,0.74,1021.6,0.81,3.26,1584337200,106,0.66,7,1584332640,16.093,273.7,8.24,1584308820,20.21,1584342120,8.51,1584308820,19.93,1584342120,"China","Fujian",2020-03-16,NA
1584374400,"Light rain starting in the afternoon.","rain",1584396960,1584440340,0.79,0.2141,0.6658,1584448800,0.72,"rain",15.56,1584416400,11.67,1584483840,15.28,1584416400,12,1584484200,10.82,0.89,1020.7,0.5,1.72,1584402120,147,0.87,6,1584417600,16.093,281.4,10.91,1584395280,15.56,1584416400,11.18,1584395280,15.28,1584416400,"China","Fujian",2020-03-17,NA
1579708800,"Mostly cloudy throughout the day.","partly-cloudy-day",1579739280,1579775340,0.96,0.0021,0.0089,1579781040,0.05,"snow",-7.25,1579763520,-19.35,1579823760,-7.39,1579762020,-22.26,1579815660,-26.87,0.36,1025.7,1.17,2.35,1579770300,34,0.79,2,1579756740,16.093,341.3,-19.43,1579737060,-7.25,1579763520,-19.59,1579780200,-7.39,1579762020,"China","Gansu",2020-01-23,0.1
1579795200,"Mostly cloudy throughout the day.","partly-cloudy-day",1579825620,1579861800,0.99,0.0214,0.1045,1579856040,0.09,"snow",-8.18,1579850760,-20.96,1579910160,-8.46,1579850760,-24.34,1579894740,-25.94,0.39,1031.4,1.17,2.12,1579813080,343,0.76,2,1579843620,16.093,365,-19.35,1579823760,-8.18,1579850760,-22.26,1579815660,-8.46,1579850760,"China","Gansu",2020-01-24,1.1
1579881600,"Mostly cloudy throughout the day.","partly-cloudy-day",1579912020,1579948260,0.02,0.0153,0.0633,1579943880,0.14,"snow",-8.73,1579936920,-24.83,1579996200,-14.74,1579937040,-30.31,1579996080,-26.39,0.42,1026.9,1.78,3.93,1579933380,203,0.67,2,1579930860,14.096,364.6,-21.35,1579964400,-8.73,1579936920,-25.46,1579964400,-14.74,1579937040,"China","Gansu",2020-01-25,0.9
1579968000,"Clear throughout the day.","clear-day",1579998360,1580034720,0.05,0.0026,0.0083,1580032800,0.05,"snow",-9.27,1580022180,-24.93,1580081460,-9.39,1580021220,-30.68,1580081280,-28.8,0.41,1025.2,1.41,2.23,1580050800,296,0.06,3,1580015820,16.093,377.9,-24.83,1579996200,-9.27,1580022180,-30.31,1579996080,-9.39,1580021220,"China","Gansu",2020-01-26,0.2
1580054400,"Clear throughout the day.","clear-day",1580084760,1580121240,0.08,0.002,0.0094,1580119500,0.04,"snow",-9.77,1580108820,-22.74,1580148660,-9.93,1580110080,-27.12,1580147220,-30.27,0.37,1025.4,1.45,2.46,1580078640,304,0.02,3,1580102880,16.093,360.1,-24.93,1580081460,-9.77,1580108820,-30.68,1580081280,-9.93,1580110080,"China","Gansu",2020-01-27,0.1
1580140800,"Partly cloudy throughout the day.","partly-cloudy-day",1580171100,1580207700,0.11,0.0013,0.0083,1580147760,0.03,"snow",-9.36,1580194560,-24.83,1580254380,-10.17,1580190900,-30.76,1580254380,-28.43,0.39,1027,1.41,2.4,1580192760,311,0.44,3,1580188140,16.093,337.3,-22.74,1580148660,-9.36,1580194560,-27.12,1580147220,-10.17,1580190900,"China","Gansu",2020-01-28,0.1
1580227200,"Clear throughout the day.","clear-day",1580257440,1580294160,0.14,0.0045,0.0074,1580283000,0.06,"snow",-8.92,1580281440,-24.83,1580340360,-9.01,1580282160,-30.51,1580340900,-30.63,0.34,1031.1,1.42,2.41,1580254380,270,0,3,1580275440,16.093,322.7,-24.83,1580254380,-8.92,1580281440,-30.76,1580254380,-9.01,1580282160,"China","Gansu",2020-01-29,0.4
1580313600,"Clear throughout the day.","clear-day",1580343780,1580380620,0.17,0.0026,0.0064,1580365500,0.03,"snow",-8.06,1580368440,-24.63,1580425260,-8.34,1580368440,-29.1,1580425200,-30.01,0.35,1027.3,1.16,2.06,1580340240,250,0.04,3,1580362080,16.093,319.5,-24.83,1580340360,-8.06,1580368440,-30.51,1580340900,-8.34,1580368440,"China","Gansu",2020-01-30,0.2
1580400000,"Partly cloudy throughout the day.","partly-cloudy-day",1580430180,1580467080,0.2,0.0021,0.0062,1580418000,0.05,"snow",-7.61,1580456460,-19.62,1580494320,-7.67,1580456400,-19.35,1580494320,-27.72,0.41,1025.1,1.12,1.85,1580428860,215,0.43,4,1580447940,16.093,306.9,-24.63,1580425260,-7.61,1580456460,-29.1,1580425200,-7.67,1580456400,"China","Gansu",2020-01-31,0.2
1580486400,"Foggy until evening.","cloudy",1580516520,1580553540,0.23,0.0605,0.2677,1580547600,0.17,"snow",-10.96,1580540100,-26.73,1580600100,-11.32,1580535600,-31.19,1580598060,-23.99,0.53,1027.1,1.31,2.48,1580569200,5,0.95,3,1580534700,8.133,326,-22.43,1580569200,-10.96,1580540100,-26.88,1580568360,-11.32,1580535600,"China","Gansu",2020-02-01,3.8
1580572800,"Clear throughout the day.","clear-day",1580602860,1580640000,0.26,0.0017,0.0085,1580590080,0.03,"snow",-9.96,1580629200,-26.41,1580686200,-10,1580629200,-32.24,1580686140,-30.22,0.4,1031.8,1.29,2.93,1580626200,259,0.15,3,1580621100,16.093,341.3,-26.73,1580600100,-9.96,1580629200,-31.19,1580598060,-10,1580629200,"China","Gansu",2020-02-02,0.2
